sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
613,95,36,157.3075533244,413.2596978185,46.4913844326,40.7729510537,10049.8923168514,25841.9638775494,3236.2735874702,2898.6926340530,221.7594545830,14135.7067496948,1
623,36,33,113.7280433007,270.4901960784,52.6552287582,40.7843137255,8466.5463620429,21659.0494040754,3084.0335180913,2349.8654363706,145.1968212093,15510.3144205964,0
933,139,43,197.8472793362,478.0581969630,92.4077964519,23.0758445936,12430.9353947442,30197.8757503940,5817.2676069338,1277.6628269047,246.7046893583,16501.1704898159,1
709,137,38,105.4807959220,181.7285247432,69.9618736383,73.5420557112,6931.5200724051,12992.9524914541,4205.3114364845,4173.9229619771,99.5818008146,8514.4810440814,0
690,158,42,221.5289661591,447.3844782668,167.7538964304,83.5299031893,13341.7713808832,25997.8975120333,10209.0670460408,5870.9297970191,241.2962410020,13920.1155166674,1
3204,239,174,81.1866600813,101.6455289410,77.3622096939,67.4008963487,4985.3462753945,6093.8043363748,5030.2058471484,4006.9530733757,69.7934551838,4585.7790736566,1
522,153,30,305.0866898484,785.5003112356,73.9379084967,123.6188920012,18376.4675062798,46094.2780797868,4476.9439638601,8641.8399210326,406.0619053733,23916.2900294835,1
1197,121,65,126.5862465840,302.9567382509,53.6447912498,29.1851267552,7810.3875529747,18961.6198694438,3194.7827761668,1646.6832301218,165.2470470297,10462.8087683558,0
292,67,17,257.8114787582,578.0228758170,147.1405228758,99.8333333333,18476.4890940717,44254.0462535777,9032.6169956000,5838.1018518519,218.7364669710,22186.2145393202,1
488,197,27,258.9395702692,667.2516923436,82.0772058824,92.2247051491,16792.4467925739,44301.9637559545,4919.4295263040,5354.0587936069,270.2585183462,18955.7838319254,0
741,54,31,104.0050726954,246.6013071895,34.9547605698,30.4591503268,6162.1480594702,14883.0471186296,1885.6688088945,1717.7282508864,118.5428253616,7194.8234057387,1
1373,133,72,147.0904407677,331.5213881279,94.6433645922,27.8970426933,8938.3262155070,20228.0363149484,5657.8143950580,1706.3736943846,147.1393252694,9095.0328472424,0
1067,226,56,150.3085154838,387.5630661621,35.3785403050,36.3344130667,9471.6392541761,24198.7051884516,2093.8251907517,2648.5895641125,238.1821337086,15052.8593963047,0
680,107,34,178.9662821256,403.8536626772,78.3388180447,54.7063656549,10694.5912813981,23356.1869984674,5568.3169367625,3159.2699089643,250.9813476231,13435.2609300692,1
2379,113,86,153.6205348758,176.1018189327,40.3957389837,249.8504943849,9098.2447209346,10819.8934246111,2149.0076767279,14650.7703729267,168.9340533059,10518.1298543341,1
738,181,28,392.2898636312,1053.4222948439,96.1056644880,27.3416315616,23727.2583002708,63688.5749367527,5948.1863279081,1545.0136361516,489.6263641666,29920.8914062806,1
776,237,40,328.2675206256,836.3178295566,111.6603466956,36.8243856247,20219.2161988797,51388.9468142889,6643.5117500299,2625.1900323204,464.5000729684,29401.1524700101,1
744,58,39,85.0701423858,126.8300375706,108.1971677560,34.3615788952,5024.3958209932,7582.5520504228,6407.2423177695,1920.7923982861,69.5928492720,4161.3121811886,1
599,214,30,433.1528611339,1052.4605358713,172.2494553377,171.0047835559,26091.9819464863,63705.9953874877,10292.1263367366,10076.0423255649,436.1342580042,26308.6535247217,0
768,156,32,56.8603794267,132.5800320128,27.3400618989,16.3470823112,3252.4290957596,7814.3128716740,1442.6632719429,825.5540532381,82.8537852900,4869.1595211384,0
641,104,32,199.9623051084,439.5166838665,137.8839869281,42.4824750413,12862.9277777492,29137.2768011664,8295.1115222778,2442.6877875785,238.1616493402,16251.8248934539,1
723,85,39,123.8286069061,272.9273653906,92.4286908250,26.7678656537,7680.2535800160,17511.5501788043,5469.9267980044,1339.3260265753,129.8470959634,8184.4140503129,0
3847,92,64,193.3342060603,243.4777866320,248.5636006275,87.9612309216,12433.3864982916,14633.3297988189,17016.0057251377,5650.8239709181,248.2542100586,18787.8987523373,1
599,39,16,134.0038464395,358.8235294118,19.9479166667,23.2400932401,7875.9818632947,21474.9134948097,1006.5239800347,1146.5081150396,199.0245619571,11957.0808780998,1
9241,41,180,165.7867590982,271.4834514229,179.0161630624,52.4805529482,10104.3268809527,16297.0825356721,11158.1766761753,3200.2409862971,202.0447409980,12177.6160075312,1
1036,226,40,365.9895518768,785.5257487610,283.2609242136,29.1819826556,23713.2702995567,51855.0353147795,17120.2416533347,2164.5339305557,358.3911422420,24988.4542117368,1
1007,53,35,327.7640328901,634.7695218438,256.6844919786,121.6348151105,22073.9227531868,45683.3737225505,15451.8803956520,7093.2343916475,245.8903418351,24615.4913612601,0
680,180,32,104.9195807355,246.5172735761,37.8020541550,40.9313725490,7909.6969749317,18743.1610988622,2567.4968898235,3209.4026336025,136.3907218067,12694.0174583995,0
1256,150,53,160.0892433553,410.1688813453,55.1405039323,24.3753591032,9600.1164846295,24796.5632664335,3139.8909151525,1428.6080066925,196.0636578427,12039.3076618221,1
1148,82,45,296.3569919549,737.6867413632,153.8322225442,39.8887250936,17803.7793184818,44609.5070653534,9129.2409565615,2215.9869790278,401.2171784510,24292.3131054177,0
737,103,31,163.4065882792,365.5362057104,94.8613691090,29.8221900182,9645.5215749430,21776.4232017121,5541.3778932837,1618.7636298334,189.0064059099,11488.6217700647,1
494,88,22,253.6874345698,539.1997708174,192.8804855275,28.9820473644,16021.2853882138,34556.1010926004,11887.2987648218,1620.4563072191,224.2729255714,14760.3682142448,1
999,151,56,161.0222534603,238.3681179024,161.1820605435,92.4622626829,9838.5295319158,14749.7080127914,9776.2659418476,5536.1996151039,105.3315501847,6718.5347659401,1
941,79,43,111.0046883136,237.9335705574,71.8450258891,23.2354684941,6813.0558579842,14926.2032856882,4271.7256068464,1241.2386814180,125.5631458098,7865.3137939755,1
1837,100,64,183.0966371037,272.5933108286,251.0424698057,25.6541306770,10551.3588550385,16341.7375583185,13921.6005336487,1390.7384731484,282.1241173486,16643.8732262345,1
3239,54,94,148.3633225208,219.7172278272,107.4869227686,117.8858169666,9731.4766816931,13683.5898720288,7109.5249477264,8401.3152253242,184.2105099453,15002.6816987944,1
726,209,31,478.4339271130,1341.5818250377,52.4262649116,41.2936913896,30961.3025640582,87148.3597545740,3189.7401370165,2545.8078005842,734.0771781800,48141.8823395450,1
390,79,22,226.6410730959,496.6653327998,144.9579831933,38.2999032947,15944.2505057481,36840.6154867798,8658.2427088483,2333.8933216163,200.0936676131,18435.2794118083,1
394,102,23,268.6282846472,644.7412298253,137.7801120448,61.7389813068,19473.1900796614,49359.4136612006,8322.3342441552,3519.7066307230,273.3442312368,26994.8149085329,0
771,160,36,135.9050362440,311.1173656065,86.9970489808,34.3107007344,8349.7772479620,18792.5370637752,5039.1542216261,2735.7817762960,142.0210176303,8982.1146765709,0
705,102,35,164.3459017594,389.1233766234,65.2109328580,53.6439323204,9638.6282407861,22662.4469232137,3902.9884582076,3226.6882719176,241.1745240810,14064.0676023250,1
2441,40,85,63.0890051925,57.7654285330,38.1244175963,93.3771694483,3882.0756917196,3884.1515197253,2035.2603920303,5726.8151634033,76.5040943007,5033.7076893731,1
