sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
1132,120,18,109.2835862571,122.4865907054,89.6616578963,159.4159446724,1862.1405220990,2103.1922058922,1534.9869983069,2693.0985709374,48.5204599074,1210.7188966447,0
931,70,18,333.6262238756,981.6993464052,151.2254901961,1.4043245757,19916.5236555563,58895.3500790294,8815.6197936691,5.2105561929,417.6285867616,24715.3755214716,0
3359,186,47,57.0454901474,62.1450105372,51.8942531643,60.9002394172,856.7469893040,894.2764233200,743.1409233443,989.9400872014,12.9047091796,390.6779749346,0
763,48,26,177.2197725571,517.6470588235,20.6465919701,15.5181384473,11938.3185893431,35540.7175124952,1156.5748303679,609.9532488341,330.8129080715,25766.9984007315,0
852,46,12,54.6547020927,73.3551553115,48.1481481481,78.8972708804,805.3155618952,1057.4449406473,915.6378600823,979.7409262194,16.0885570710,447.5523643814,0
1208,177,40,215.7836549911,608.5416217769,23.7458616634,15.0634815330,15541.5941736410,44661.8051024667,1251.6638450552,711.3135734012,394.0092911894,36081.2440896019,0
1366,119,51,156.9370688054,318.1189800482,137.6881061564,34.6212538121,9496.0828835632,19339.8949808101,8271.8751029000,2063.4889274250,173.7582305205,10818.1871338856,0
2094,235,31,119.8572624496,141.5284498834,113.6861089592,104.3572285063,1940.4051633664,2191.1397662942,1925.4992631666,1704.5764606386,33.6309181593,981.6961260351,0
891,53,29,105.6409237458,239.0578738618,47.5390156062,42.0637621856,6346.4813268371,14803.0627640757,2796.9651838919,2144.5806244146,104.1868277636,6587.5113225989,1
1792,168,25,94.4492704404,90.7455527389,94.5065217660,98.0957368163,1349.5563193001,1325.7492981969,1439.3718814691,1283.5477782345,35.2654452974,660.0548855776,0
3743,161,54,44.2951556382,50.3297913224,41.6564526284,46.1104177449,689.5024269382,796.7220699948,636.1755909421,716.7275524586,10.1250820909,309.1877454569,0
1016,143,16,157.9231497178,233.4024976645,145.9762271627,94.3907243263,2757.7530584175,4123.7694209019,2673.4596706435,1476.0300837071,50.8563569101,1304.1228887389,0
1477,127,23,89.0124727136,73.9327662001,78.7229893272,127.0977301441,1458.3588989227,1097.3584638374,1295.5254671122,2190.5297513789,39.8537918679,858.3560474766,0
994,76,35,126.3489548031,342.5802139037,27.8159751974,20.1369439267,7665.1860051331,21375.2559475959,1436.0609431910,881.0762159882,166.9788220307,10540.3350796892,0
401,237,18,708.4969409759,1800.4901960784,576.4705882353,31.9288150043,39803.6685421660,98181.1883250032,35380.6228373702,1770.6618809910,705.6581696336,40862.9475019825,1
1377,123,20,93.0742684653,77.2082650250,89.5113261540,128.0155922943,1428.4076693236,1062.2837442327,1434.4809427519,2026.5262658734,49.4596162626,947.4705580532,0
608,54,20,209.9197742834,500.0953159041,143.4388179329,21.2118180606,15829.7470294921,40493.8927958620,8766.2936596612,867.3458045350,265.4385801416,28064.1842097310,1
889,114,37,151.5123960352,379.5153222108,50.2120805963,24.8097852986,9365.0740533052,23411.7788354061,3272.0276871017,1411.4156374079,231.7784459875,13834.3893222053,0
4065,169,58,43.7988580990,48.1302941470,42.5597982039,40.7064819459,688.3665355887,744.3651117861,670.3464094327,650.3880855473,12.1144391530,351.6069031443,0
3249,224,46,71.8086898837,79.7416461306,71.5087954777,64.1756280429,1099.2383510373,1151.2174498490,1154.0290085627,992.4685947001,18.2445636013,516.8261872131,0
728,150,37,243.7511153458,658.9062013694,40.1167525112,32.2303921569,14808.5694593896,39916.7638074656,2403.2540510311,2105.6905196719,387.0968574648,23252.0892971396,1
704,103,31,197.6412231559,389.3288982260,150.2450980392,53.3496732026,12030.0254224784,23873.3540665722,9050.7056580802,3166.0165427827,275.2331790159,16632.5222376142,1
570,35,26,73.1659018263,158.3662938860,25.5876068376,44.6895424837,4244.2077091176,9092.0114254610,1499.6758346117,2671.4618309197,77.2329721968,4539.1927111631,1
798,36,12,43.8693448127,46.5748631589,29.9107142857,84.3686868687,699.3248949157,595.7665252350,448.2222576531,1520.2024984695,20.9344837411,501.6636390020,0
2228,89,30,40.1701432346,51.4452341805,36.8392181284,41.1526758914,569.3436893370,740.6403944202,527.6199700414,566.2915234022,9.5127220419,229.6395350741,0
556,236,33,438.7495595826,813.3660130719,358.0065359477,232.6260416447,27647.1244465523,52985.6278568072,21391.6789482678,14093.4914238922,301.4974796413,19867.0303804086,1
1001,136,15,148.0731845120,245.5252369510,112.0172983061,160.7136105350,2460.6409900590,4307.5962596714,1804.1294717837,2500.5177337515,50.8552818469,1383.0473002735,0
647,97,37,342.9932005200,773.9457917670,165.0512477718,89.9825620212,20749.7419942969,46642.9856668158,10296.6384809879,5309.6018350869,344.2977412042,20769.3526462654,0
1514,71,40,220.0122414317,363.5700202046,262.1606334842,34.3060706064,13617.4617000367,22122.7636018901,15737.6677732430,2991.9537249770,213.6111834541,13520.0236424381,1
1501,135,22,95.1690560254,92.7978192929,94.8917012693,97.8176475140,1517.8189886562,1417.4784675186,1633.1566445530,1502.8218538971,39.6159847220,950.6164817362,0
682,82,11,132.8342201652,194.4988391529,76.0960960961,172.1857986351,2365.4681447036,3657.0785851832,1021.9192165138,3205.8960139816,63.8913305558,1556.8795106301,0
1013,44,15,43.6097013041,70.7137094542,33.9061647572,48.0140803527,683.9620018103,1148.6792838010,555.3868991902,689.8008233449,11.8525070462,327.1937538843,0
1389,100,21,75.6564686706,111.7072316127,69.7710997257,70.7098975635,1231.2068400758,1921.1614064427,1182.4662398886,1000.3951539216,20.3880367698,534.3615549976,0
1739,219,26,134.3581812159,189.4029338146,113.1955777286,117.2708047566,2184.5678048663,3326.5325722337,1697.0935918443,1803.1482261293,39.8041005832,1074.7584671713,0
1233,169,35,291.8771817363,688.3768020765,185.9222476870,27.8667846941,16791.4860293086,38177.3800645102,12169.6018970076,1553.9748563451,382.2657652964,19651.7131994225,0
521,196,28,396.3801473950,788.1045751634,128.0501089325,272.9857580892,23089.6756945090,44832.2589602290,7785.2490851097,16651.5190381884,348.8135598108,19710.2119460456,1
1791,199,26,119.6943472715,89.2042335020,107.5213651733,177.3192365482,1916.8318443510,1363.9494182892,1628.5336407452,2997.6164545623,64.7974287033,1325.4773138432,0
605,148,33,146.8847478620,400.9961035696,53.3122635019,15.7228260870,9276.4228777766,25787.0012736276,3180.2347684332,717.3171668242,255.2622035961,17043.2094875338,0
2393,136,35,58.1680728026,68.5059091432,53.0047635513,58.2815523317,918.1655749256,1042.4194505772,797.3142337612,998.2326381588,17.0040467576,467.7079295905,0
799,43,12,57.7476419493,105.9000694295,41.3782127795,64.4630716051,925.0893679072,1743.8020296274,647.5294807039,1000.6628386619,18.4242102539,484.2008198926,0
